sample_id	seqprep	species	dataOrg	seq_type	read1	read2
SRR8943516_chondrocytes_Distal_tibial_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943516_chondrocytes_Distal_tibial_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943516_chondrocytes_Distal_tibial_growth_plates_E59_2.fastq
SRR21742717_primary_chondrocyte_Cartilage_Knee	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742717_primary_chondrocyte_Cartilage_Knee_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742717_primary_chondrocyte_Cartilage_Knee_2.fastq
SRR8943514_chondrocytes_Distal_femoral_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943514_chondrocytes_Distal_femoral_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943514_chondrocytes_Distal_femoral_growth_plates_E59_2.fastq
SRR21742715_primary_chondrocyte_Cartilage_Knee	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742715_primary_chondrocyte_Cartilage_Knee_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742715_primary_chondrocyte_Cartilage_Knee_2.fastq
SRR21742713_primary_chondrocyte_Cartilage_Knee	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742713_primary_chondrocyte_Cartilage_Knee_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742713_primary_chondrocyte_Cartilage_Knee_2.fastq
SRR21742707_primary_chondrocyte_Cartilage_Hip	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742707_primary_chondrocyte_Cartilage_Hip_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742707_primary_chondrocyte_Cartilage_Hip_2.fastq
SRR21742705_primary_chondrocyte_Cartilage_Hip	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742705_primary_chondrocyte_Cartilage_Hip_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742705_primary_chondrocyte_Cartilage_Hip_2.fastq
SRR21742714_primary_chondrocyte_Cartilage_Knee	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742714_primary_chondrocyte_Cartilage_Knee_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742714_primary_chondrocyte_Cartilage_Knee_2.fastq
SRR21742712_primary_chondrocyte_Cartilage_Knee	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742712_primary_chondrocyte_Cartilage_Knee_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742712_primary_chondrocyte_Cartilage_Knee_2.fastq
SRR21742709_primary_chondrocyte_Cartilage_Hip	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742709_primary_chondrocyte_Cartilage_Hip_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742709_primary_chondrocyte_Cartilage_Hip_2.fastq
SRR21742708_primary_chondrocyte_Cartilage_Hip	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742708_primary_chondrocyte_Cartilage_Hip_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742708_primary_chondrocyte_Cartilage_Hip_2.fastq
SRR8943517_chondrocytes_Proximal_humeral_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943517_chondrocytes_Proximal_humeral_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943517_chondrocytes_Proximal_humeral_growth_plates_E59_2.fastq
SRR8943513_chondrocytes_Proximal_femoral_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943513_chondrocytes_Proximal_femoral_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943513_chondrocytes_Proximal_femoral_growth_plates_E59_2.fastq
SRR8943518_chondrocytes_Distal_humeral_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943518_chondrocytes_Distal_humeral_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943518_chondrocytes_Distal_humeral_growth_plates_E59_2.fastq
SRR21742706_primary_chondrocyte_Cartilage_Hip	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742706_primary_chondrocyte_Cartilage_Hip_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742706_primary_chondrocyte_Cartilage_Hip_2.fastq
SRR8943520_chondrocytes_Distal_radial_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943520_chondrocytes_Distal_radial_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943520_chondrocytes_Distal_radial_growth_plates_E59_2.fastq
SRR8943519_chondrocytes_Proximal_radial_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943519_chondrocytes_Proximal_radial_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943519_chondrocytes_Proximal_radial_growth_plates_E59_2.fastq
SRR21742704_primary_chondrocyte_Cartilage_Hip	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742704_primary_chondrocyte_Cartilage_Hip_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742704_primary_chondrocyte_Cartilage_Hip_2.fastq
SRR21742716_primary_chondrocyte_Cartilage_Knee	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR21742716_primary_chondrocyte_Cartilage_Knee_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR21742716_primary_chondrocyte_Cartilage_Knee_2.fastq
SRR8943515_chondrocytes_Proximal_tibial_growth_plates_E59	no	human	Chondrocytes	paired-end	/scratch/users/astarr97/Chondrocytes/SRR8943515_chondrocytes_Proximal_tibial_growth_plates_E59_1.fastq	/scratch/users/astarr97/Chondrocytes/SRR8943515_chondrocytes_Proximal_tibial_growth_plates_E59_2.fastq
